epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,1865.23,0.6775,0.4025,0.91909,0.9917,0.99939,0.99493,0.8358,0.7294,0.35426,0.92505,0.00108113,0.00108113,0.00108113
144,1878.18,0.68596,0.40957,0.90403,0.9913,0.99973,0.99493,0.83635,0.73347,0.34287,0.92763,0.00107701,0.00107701,0.00107701
145,1891.19,0.67022,0.40445,0.90388,0.99203,0.99503,0.99493,0.83075,0.70967,0.35459,0.92536,0.00107288,0.00107288,0.00107288
146,1904.19,0.68567,0.41938,0.91517,0.9991,0.98624,0.99473,0.82657,0.73819,0.34496,0.93126,0.00106876,0.00106876,0.00106876
147,1917.17,0.66826,0.40356,0.91196,0.9923,1,0.995,0.82392,0.77113,0.35087,0.94361,0.00106463,0.00106463,0.00106463
148,1930.33,0.64906,0.39204,0.90146,0.99809,1,0.995,0.82891,0.77367,0.35992,0.93779,0.0010605,0.0010605,0.0010605
149,1943.41,0.67808,0.40455,0.91337,0.99759,1,0.995,0.82838,0.75028,0.34728,0.93459,0.00105638,0.00105638,0.00105638
150,1956.45,0.64739,0.39064,0.90414,0.99188,1,0.995,0.84224,0.72618,0.34012,0.92732,0.00105225,0.00105225,0.00105225
151,1969.41,0.66679,0.4015,0.90898,0.99061,0.98918,0.995,0.83921,0.7234,0.36592,0.92055,0.00104813,0.00104813,0.00104813
152,1982.39,0.66449,0.39545,0.9065,0.99071,0.99834,0.99493,0.84691,0.7199,0.34084,0.92445,0.001044,0.001044,0.001044
153,1995.37,0.67505,0.39832,0.9151,0.97673,0.99315,0.99174,0.8352,0.74922,0.35588,0.93566,0.00103987,0.00103987,0.00103987
154,2008.42,0.67766,0.39714,0.91698,0.98649,0.99296,0.99479,0.84067,0.74954,0.35016,0.93124,0.00103575,0.00103575,0.00103575
155,2021.42,0.63533,0.38092,0.89304,0.99373,0.999,0.995,0.84865,0.73317,0.34328,0.92715,0.00103162,0.00103162,0.00103162
156,2034.4,0.67143,0.39799,0.91108,0.99487,0.99201,0.99486,0.83462,0.73955,0.35898,0.92569,0.0010275,0.0010275,0.0010275
157,2047.38,0.65227,0.38733,0.89914,0.99695,1,0.995,0.82761,0.7276,0.35081,0.91708,0.00102337,0.00102337,0.00102337
158,2060.35,0.68526,0.40333,0.91501,0.98999,1,0.99486,0.82799,0.76128,0.37429,0.93274,0.00101925,0.00101925,0.00101925
159,2073.24,0.66046,0.39426,0.91706,0.998,1,0.995,0.83881,0.73896,0.34438,0.92343,0.00101512,0.00101512,0.00101512
160,2086.16,0.66322,0.39624,0.91123,0.99105,1,0.995,0.84567,0.74192,0.33344,0.93282,0.00101099,0.00101099,0.00101099
161,2099.08,0.65266,0.39257,0.90035,0.99014,0.99942,0.99486,0.82392,0.77973,0.3543,0.94508,0.00100687,0.00100687,0.00100687
162,2112.26,0.66876,0.40109,0.91206,0.98763,0.99796,0.995,0.82955,0.75882,0.34667,0.93821,0.00100274,0.00100274,0.00100274
163,2125.18,0.68237,0.39977,0.90711,0.99345,0.98483,0.9948,0.84519,0.73043,0.34747,0.93692,0.000998616,0.000998616,0.000998616
164,2138.2,0.63842,0.38132,0.90788,0.98695,0.99315,0.99487,0.84131,0.74449,0.34158,0.93551,0.000994491,0.000994491,0.000994491
165,2151.17,0.66116,0.39068,0.90711,0.99153,0.99905,0.99493,0.83179,0.7735,0.34325,0.9524,0.000990365,0.000990365,0.000990365
166,2164.18,0.64025,0.37663,0.90913,0.98701,0.99931,0.99493,0.82127,0.77979,0.34823,0.9492,0.000986239,0.000986239,0.000986239
167,2177.12,0.6549,0.39088,0.90415,0.98864,0.99939,0.99493,0.82328,0.77375,0.35241,0.95482,0.000982113,0.000982113,0.000982113
168,2190.11,0.6506,0.39064,0.90014,0.99176,1,0.995,0.81117,0.80852,0.36771,0.95288,0.000977987,0.000977987,0.000977987
169,2203.04,0.67553,0.4053,0.91485,0.9982,1,0.995,0.83128,0.7615,0.35147,0.93687,0.000973861,0.000973861,0.000973861
170,2216.01,0.65061,0.39239,0.90048,0.98887,0.99315,0.99327,0.84204,0.73713,0.3553,0.93982,0.000969736,0.000969736,0.000969736
171,2228.95,0.64098,0.37535,0.89768,0.99862,1,0.995,0.85567,0.7047,0.32923,0.91274,0.00096561,0.00096561,0.00096561
172,2241.96,0.65466,0.38881,0.9041,0.99702,1,0.995,0.84117,0.75132,0.34658,0.9372,0.000961484,0.000961484,0.000961484
173,2254.85,0.67108,0.40316,0.92012,0.99598,1,0.995,0.85089,0.73331,0.3307,0.927,0.000957358,0.000957358,0.000957358
174,2267.87,0.6596,0.38935,0.91237,0.99795,0.99492,0.995,0.81918,0.80912,0.35403,0.96034,0.000953232,0.000953232,0.000953232
175,2281.2,0.65426,0.38255,0.90706,0.99578,1,0.995,0.84238,0.74418,0.34418,0.94032,0.000949106,0.000949106,0.000949106
176,2294.62,0.65584,0.38257,0.91528,0.99897,1,0.995,0.83453,0.75204,0.33679,0.94261,0.000944981,0.000944981,0.000944981
177,2307.82,0.65068,0.38136,0.90286,0.97415,1,0.9948,0.83063,0.76242,0.35149,0.9393,0.000940855,0.000940855,0.000940855
178,2320.9,0.64371,0.38386,0.90694,0.99612,1,0.995,0.842,0.75368,0.33852,0.93051,0.000936729,0.000936729,0.000936729
179,2333.79,0.64372,0.38931,0.90487,0.99721,1,0.995,0.84373,0.70305,0.31732,0.92063,0.000932603,0.000932603,0.000932603
180,2346.69,0.67225,0.39506,0.91859,0.99821,1,0.995,0.83703,0.72974,0.3349,0.93141,0.000928477,0.000928477,0.000928477
181,2359.56,0.63725,0.37939,0.90419,0.99836,1,0.995,0.84077,0.72531,0.3317,0.93158,0.000924352,0.000924352,0.000924352
182,2372.49,0.64424,0.37906,0.90995,0.99036,0.99329,0.99493,0.83926,0.75007,0.34288,0.93464,0.000920226,0.000920226,0.000920226
